;Preprocessor;Feature Reduction;Algorithm (Library);Components;Mean cv;Stdev.;Test data;Elapsed Time;Exception
42;NRM;PCA;HIST - Histogram-based Gradient B. Classifier (Scikit Learn);4;0,9916666666666666;0,025000000000000012;1,0;0,21146655082702637;
43;NRM;PCA;RUBC - RUS Boost Classifier (Imbalanced Learn);4;0,9909722222222221;0,014583333333333314;1,0;2,204615592956543;
44;NRM;PCA;BGC - Bagging Classifier (Scikit Learn);4;0,9892361111111111;0,022845533541105516;1,0;0,14187836647033691;
45;NRM;PCA;BARF - Balanced Random Forest (Imbalanced Learn);4;0,9888888888888889;0,011040356316378211;1,0;2,0193042755126953;
46;NOS;PCA;HIST - Histogram-based Gradient B. Classifier (Scikit Learn);4;0,9888888888888889;0,025458753860865786;1,0;0,21157336235046387;
47;NRM;PCA;BABC - Balanced Bagging Classifier (Imbalanced Learn);4;0,9875;0,025192162704468137;1,0;2,046783447265625;
48;NRM;PCA;GBC - Gradient Boosting Classifier (Scikit Learn);4;0,986111111111111;0,027777777777777724;1,0;2,1264538764953613;
49;NRM;PCA;DTC - Decision Tree Classifier (Scikit Learn);4;0,9541666666666666;0,05253966755382706;1,0;2,5810964107513428;
50;MAX;NOR;FLAX - Flax Neural Network (Flax/Jax);4;N/A;N/A;1,0;30,79540467262268;
51;NOS;NOR;FLAX - Flax Neural Network (Flax/Jax);4;N/A;N/A;1,0;31,928943395614624;
52;NRM;NOR;FLAX - Flax Neural Network (Flax/Jax);4;N/A;N/A;1,0;31,595566511154175;
53;NRM;PCA;FLAX - Flax Neural Network (Flax/Jax);4;N/A;N/A;1,0;31,809941053390503;
54;STA;NOR;FLAX - Flax Neural Network (Flax/Jax);4;N/A;N/A;1,0;30,46049427986145;
55;MAX;NOR;KNN - K-Neighbors Classifier (Scikit Learn);4;1,0;0,0;0,9979423868312757;2,5129528045654297;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
56;MAX;PCA;KNN - K-Neighbors Classifier (Scikit Learn);4;1,0;0,0;0,9979423868312757;2,4965274333953857;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
57;MIX;PCA;ABC - Ada Boost Classifier (Scikit Learn);4;0,996875;0,009375;0,9979423868312757;2,635265827178955;
58;STA;NOR;MNB - Multinomial Naive Bayes (Scikit Learn);4;0,9909722222222224;0,016374758503543856;0,9979423868312757;1,962216854095459;
59;STA;NOR;KNN - K-Neighbors Classifier (Scikit Learn);4;0,9909722222222221;0,015850989181268486;0,9979423868312757;2,4891796112060547;
60;STA;PCA;KNN - K-Neighbors Classifier (Scikit Learn);4;0,9881944444444445;0,021074987368740992;0,9979423868312757;2,5888404846191406;
61;NOS;PCA;ABC - Ada Boost Classifier (Scikit Learn);4;0,9840277777777778;0,027083333333333296;0,9979423868312757;2,620685577392578;
62;MAX;NOR;BARF - Balanced Random Forest (Imbalanced Learn);4;1,0;0,0;0,9958847736625515;2,05977201461792;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
63;MAX;NOR;ETC - Extra Trees Classifier (Scikit Learn);4;1,0;0,0;0,9958847736625515;0,22250938415527344;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
64;MAX;NOR;FUTS - FUT Stacking Classifier (Scikit Learn);4;1,0;0,0;0,9958847736625515;6,49129581451416;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
65;MAX;NOR;FUTV - FUT Voting Classifier (Scikit Learn);4;1,0;0,0;0,9958847736625515;2,6612536907196045;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
66;MAX;NOR;QDA - Quadratic Discriminant Analysis (Scikit Learn);4;1,0;0,0;0,9958847736625515;2,5275673866271973;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
67;MIX;NOR;BARF - Balanced Random Forest (Imbalanced Learn);4;1,0;0,0;0,9958847736625515;1,9928374290466309;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
68;MIX;NOR;ETC - Extra Trees Classifier (Scikit Learn);4;1,0;0,0;0,9958847736625515;0,23773550987243652;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
69;MIX;NOR;FUTS - FUT Stacking Classifier (Scikit Learn);4;1,0;0,0;0,9958847736625515;6,3620688915252686;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
70;MIX;NOR;FUTV - FUT Voting Classifier (Scikit Learn);4;1,0;0,0;0,9958847736625515;2,650552272796631;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
71;MIX;NOR;MLPC - Multi Layered Peceptron (Scikit Learn);4;1,0;0,0;0,9958847736625515;2,8606154918670654;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
72;MIX;NOR;QDA - Quadratic Discriminant Analysis (Scikit Learn);4;1,0;0,0;0,9958847736625515;2,460880994796753;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
73;MIX;NOR;SRF1 - Stacked Random Forests 1 (Scikit Learn);4;1,0;0,0;0,9958847736625515;5,409194469451904;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
74;MIX;PCA;ETC - Extra Trees Classifier (Scikit Learn);4;1,0;0,0;0,9958847736625515;0,24781179428100586;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
75;MIX;PCA;FUTS - FUT Stacking Classifier (Scikit Learn);4;1,0;0,0;0,9958847736625515;6,284467697143555;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
76;MIX;PCA;FUTV - FUT Voting Classifier (Scikit Learn);4;1,0;0,0;0,9958847736625515;2,6363515853881836;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
77;MIX;PCA;SRF1 - Stacked Random Forests 1 (Scikit Learn);4;1,0;0,0;0,9958847736625515;5,47314977645874;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
78;NOS;NOR;BARF - Balanced Random Forest (Imbalanced Learn);4;1,0;0,0;0,9958847736625515;2,0083343982696533;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
79;NOS;NOR;ETC - Extra Trees Classifier (Scikit Learn);4;1,0;0,0;0,9958847736625515;0,21418476104736328;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
80;NOS;NOR;FUTS - FUT Stacking Classifier (Scikit Learn);4;1,0;0,0;0,9958847736625515;6,177674055099487;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
81;NOS;NOR;FUTV - FUT Voting Classifier (Scikit Learn);4;1,0;0,0;0,9958847736625515;2,642669200897217;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
82;NOS;NOR;QDA - Quadratic Discriminant Analysis (Scikit Learn);4;1,0;0,0;0,9958847736625515;2,4934639930725098;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
83;NOS;NOR;RFCL - Random Forest Classifier (Scikit Learn);4;1,0;0,0;0,9958847736625515;2,7114315032958984;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
84;NRM;NOR;ETC - Extra Trees Classifier (Scikit Learn);4;1,0;0,0;0,9958847736625515;0,2389695644378662;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
85;STA;NOR;ETC - Extra Trees Classifier (Scikit Learn);4;1,0;0,0;0,9958847736625515;0,23482179641723633;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
86;STA;NOR;FUTS - FUT Stacking Classifier (Scikit Learn);4;1,0;0,0;0,9958847736625515;6,126079082489014;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
87;STA;NOR;FUTV - FUT Voting Classifier (Scikit Learn);4;1,0;0,0;0,9958847736625515;2,6263418197631836;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
88;STA;NOR;LRN - Logistic Regression (Scikit Learn);4;1,0;0,0;0,9958847736625515;1,763343095779419;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
89;STA;NOR;QDA - Quadratic Discriminant Analysis (Scikit Learn);4;1,0;0,0;0,9958847736625515;2,4724714756011963;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
90;STA;PCA;FUTS - FUT Stacking Classifier (Scikit Learn);4;1,0;0,0;0,9958847736625515;5,750799655914307;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
91;STA;PCA;FUTV - FUT Voting Classifier (Scikit Learn);4;1,0;0,0;0,9958847736625515;2,5501396656036377;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
92;STA;PCA;LRN - Logistic Regression (Scikit Learn);4;1,0;0,0;0,9958847736625515;1,816375732421875;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
93;STA;PCA;MLPC - Multi Layered Peceptron (Scikit Learn);4;1,0;0,0;0,9958847736625515;2,807525634765625;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
94;MIX;NOR;RFCL - Random Forest Classifier (Scikit Learn);4;0,9979166666666666;0,006250000000000011;0,9958847736625515;2,7008590698242188;
95;NOS;NOR;LRN - Logistic Regression (Scikit Learn);4;0,9979166666666666;0,006250000000000011;0,9958847736625515;1,7656481266021729;
96;NOS;PCA;LDA - Linear Discriminant Analysis (Scikit Learn);4;0,9979166666666666;0,006250000000000011;0,9958847736625515;1,9335992336273193;
97;NRM;PCA;QDA - Quadratic Discriminant Analysis (Scikit Learn);4;0,9979166666666666;0,006250000000000011;0,9958847736625515;2,457911491394043;
98;MIX;PCA;RFCL - Random Forest Classifier (Scikit Learn);4;0,9965277777777779;0,00711593803191639;0,9958847736625515;2,7197365760803223;
99;MAX;PCA;RUBC - RUS Boost Classifier (Imbalanced Learn);4;0,9958333333333333;0,01249999999999999;0,9958847736625515;2,216611623764038;
100;MIX;PCA;EAEC - Easy Ensamble Classifier (Imbalanced Learn);4;0,9958333333333333;0,01249999999999999;0,9958847736625515;2,9106948375701904;
101;MIX;PCA;RUBC - RUS Boost Classifier (Imbalanced Learn);4;0,9958333333333333;0,01249999999999999;0,9958847736625515;2,2107009887695312;
102;NOS;PCA;QDA - Quadratic Discriminant Analysis (Scikit Learn);4;0,9958333333333333;0,01249999999999999;0,9958847736625515;2,4787395000457764;
103;NRM;NOR;NCT - Nearest Centroid (Scikit Learn);4;0,9958333333333332;0,008333333333333349;0,9958847736625515;1,7728536128997803;
104;NOS;NOR;GPC - Gaussian Process Classifier (Scikit Learn);4;0,9951388888888889;0,009845449221359583;0,9958847736625515;0,09989690780639648;
105;NOS;PCA;GPC - Gaussian Process Classifier (Scikit Learn);4;0,9951388888888889;0,009845449221359583;0,9958847736625515;0,10092926025390625;
106;STA;PCA;GBC - Gradient Boosting Classifier (Scikit Learn);4;0,9951388888888889;0,009845449221359583;0,9958847736625515;2,15533447265625;
107;MAX;PCA;BGC - Bagging Classifier (Scikit Learn);4;0,99375;0,01875;0,9958847736625515;0,1183626651763916;
108;STA;PCA;HIST - Histogram-based Gradient B. Classifier (Scikit Learn);4;0,9930555555555556;0,014231876063832753;0,9958847736625515;0,2348313331604004;
109;MAX;PCA;HIST - Histogram-based Gradient B. Classifier (Scikit Learn);4;0,9930555555555556;0,02083333333333329;0,9958847736625515;0,2232809066772461;
110;NOS;PCA;BABC - Balanced Bagging Classifier (Imbalanced Learn);4;0,992361111111111;0,011805555555555526;0,9958847736625515;2,000574827194214;
111;MAX;PCA;EAEC - Easy Ensamble Classifier (Imbalanced Learn);4;0,9916666666666666;0,025000000000000012;0,9958847736625515;2,8957085609436035;
112;NOS;PCA;GBC - Gradient Boosting Classifier (Scikit Learn);4;0,9909722222222221;0,013906239162847738;0,9958847736625515;2,122530460357666;
113;NOS;PCA;FUTV - FUT Voting Classifier (Scikit Learn);4;0,9909722222222221;0,01702451482240457;0,9958847736625515;2,5264699459075928;
114;NOS;PCA;FUTS - FUT Stacking Classifier (Scikit Learn);4;0,9895833333333333;0,01790805133087173;0,9958847736625515;5,583709001541138;
115;NOS;PCA;ETC - Extra Trees Classifier (Scikit Learn);4;0,9883680555555555;0,019395554857371555;0,9958847736625515;0,23290038108825684;
116;NOS;PCA;RUBC - RUS Boost Classifier (Imbalanced Learn);4;0,9881944444444445;0,020138888888888873;0,9958847736625515;2,204023838043213;
117;STA;PCA;RFCL - Random Forest Classifier (Scikit Learn);4;0,9878472222222221;0,02461362305339903;0,9958847736625515;2,7115836143493652;
118;MAX;PCA;ABC - Ada Boost Classifier (Scikit Learn);4;0,986111111111111;0,028463752127665578;0,9958847736625515;2,6250057220458984;
119;NOS;PCA;SRF1 - Stacked Random Forests 1 (Scikit Learn);4;0,986111111111111;0,033448873829978604;0,9958847736625515;5,46015739440918;
120;MAX;PCA;GBC - Gradient Boosting Classifier (Scikit Learn);4;0,9847222222222222;0,034274896331258534;0,9958847736625515;2,1036272048950195;
121;MIX;PCA;BABC - Balanced Bagging Classifier (Imbalanced Learn);4;0,984375;0,03133668532602359;0,9958847736625515;2,002375841140747;
122;MIX;PCA;BGC - Bagging Classifier (Scikit Learn);4;0,984375;0,03133668532602359;0,9958847736625515;0,12270402908325195;
123;STA;PCA;BGC - Bagging Classifier (Scikit Learn);4;0,984375;0,03133668532602359;0,9958847736625515;0,10365986824035645;
124;STA;PCA;SRF1 - Stacked Random Forests 1 (Scikit Learn);4;0,9840277777777778;0,02401613398026472;0,9958847736625515;5,4830522537231445;
125;NOS;PCA;BARF - Balanced Random Forest (Imbalanced Learn);4;0,9840277777777778;0,03152655406337824;0,9958847736625515;2,0708792209625244;
126;MAX;NOR;RFCL - Random Forest Classifier (Scikit Learn);4;1,0;0,0;0,9948559670781894;2,706960678100586;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
127;MIX;PCA;BARF - Balanced Random Forest (Imbalanced Learn);4;0,9984375;0,0046875;0,9948559670781894;2,0605504512786865;
128;STA;NOR;BABC - Balanced Bagging Classifier (Imbalanced Learn);4;1,0;0,0;0,9938271604938271;2,0084829330444336;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
129;STA;NOR;GPC - Gaussian Process Classifier (Scikit Learn);4;1,0;0,0;0,9938271604938271;0,08167076110839844;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
130;STA;PCA;GPC - Gaussian Process Classifier (Scikit Learn);4;1,0;0,0;0,9938271604938271;0,11570000648498535;UnstableModelException: Performance metric difference for cross evaluation and final test exceeds 2*stdev
131;NOS;NOR;SRF1 - Stacked Random Forests 1 (Scikit Learn);4;0,9979166666666666;0,006250000000000011;0,9938271604938271;5,452637672424316;
